"","audience_score","feature_film","drama","runtime","mpaa_rating_R","thtr_rel_year","oscar_season","summer_season","imdb_rating","imdb_num_votes","critics_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box"
"34",70,"yes","no",124,"yes",1990,"no","yes",7.1,259822,69,"no","no","no","no","no","no"
"35",57,"yes","no",112,"yes",2004,"no","no",6.6,4908,40,"no","no","no","no","no","no"
"36",55,"yes","no",108,"no",2010,"no","no",6.5,290356,52,"no","no","no","no","no","no"
"37",70,"yes","yes",135,"yes",2007,"yes","no",7,47297,76,"no","no","no","yes","no","no"
"38",51,"yes","yes",115,"no",1995,"yes","no",6.1,2145,13,"no","no","no","no","no","no"
"39",94,"yes","no",137,"yes",1986,"no","yes",8.4,466400,98,"no","no","no","no","yes","no"
"40",81,"yes","yes",99,"no",1989,"no","yes",7.4,69338,81,"yes","yes","no","yes","no","no"
"41",64,"yes","yes",106,"yes",2002,"yes","no",6.6,6228,69,"no","no","no","no","no","no"
"42",88,"yes","yes",130,"yes",1973,"yes","no",7.8,75468,90,"no","no","yes","no","no","no"
"43",64,"yes","yes",98,"yes",2003,"no","no",6.5,48519,21,"no","no","no","no","no","no"
"44",40,"yes","no",94,"yes",2002,"no","no",5.4,13523,57,"no","no","no","no","no","no"
"45",94,"yes","yes",154,"no",1985,"yes","no",7.8,58668,88,"yes","no","no","no","yes","no"
"46",62,"yes","no",113,"no",1989,"no","no",6.5,9654,54,"no","no","no","no","no","no"
"47",64,"yes","yes",115,"no",1993,"no","yes",6.7,22079,67,"no","no","no","no","yes","no"
"48",49,"yes","yes",135,"no",2005,"yes","no",6.7,5258,50,"no","no","no","no","no","no"
"49",17,"yes","yes",106,"no",1977,"no","yes",2.7,761,17,"no","no","no","no","no","no"
"50",40,"yes","yes",125,"yes",1993,"no","yes",6.2,33839,35,"no","no","no","no","no","no"
"51",88,"no","no",65,"no",2004,"no","no",7.3,183,73,"no","no","no","no","no","no"
"52",75,"yes","yes",123,"no",2008,"yes","no",7.7,225130,27,"no","no","no","no","no","no"
"53",56,"yes","no",119,"no",2002,"no","no",6.5,62241,52,"no","no","no","no","no","no"
"54",52,"yes","yes",120,"yes",2007,"no","no",6.6,19714,34,"no","no","no","no","yes","no"
"55",83,"yes","yes",162,"yes",1996,"yes","no",7.4,137126,84,"yes","yes","yes","no","yes","no"
"56",72,"yes","yes",140,"yes",1994,"no","yes",6.8,10468,44,"no","no","no","no","yes","no"
"57",59,"yes","yes",115,"yes",2006,"no","no",6.5,37770,46,"no","no","no","no","no","no"
"58",38,"yes","yes",102,"yes",1993,"no","no",5.5,1628,56,"no","no","no","no","no","no"
"59",35,"yes","no",79,"yes",2012,"no","yes",5.5,5587,6,"no","no","no","no","no","no"
"60",43,"yes","no",108,"yes",1989,"no","yes",6.4,6247,64,"no","no","yes","no","no","no"
"61",54,"yes","no",98,"no",1999,"yes","no",6.3,8646,81,"no","no","no","no","no","no"
"62",44,"yes","yes",100,"yes",2007,"no","no",6,8320,50,"no","no","yes","yes","no","no"
"63",96,"no","no",106,"no",2002,"no","no",8.5,2362,96,"no","no","no","no","no","no"
"64",89,"no","no",92,"no",2009,"no","yes",7.8,1942,96,"no","no","no","no","no","no"
"65",58,"yes","no",115,"no",2003,"no","no",6.6,110238,43,"no","no","yes","no","no","no"
"66",52,"yes","no",87,"no",2011,"yes","no",4.4,21501,12,"no","no","no","no","no","no"
"67",90,"no","no",103,"no",1988,"no","yes",8.1,14359,100,"no","no","no","no","no","no"
"68",55,"yes","no",127,"yes",1984,"yes","no",6.5,12450,75,"no","no","no","no","yes","no"
"69",52,"yes","yes",90,"yes",1989,"no","no",6.4,21704,63,"no","no","no","no","no","no"
"70",85,"yes","yes",119,"no",1978,"yes","no",7.2,4375,40,"no","no","no","yes","no","no"
"71",43,"yes","yes",135,"yes",2000,"yes","no",6.2,48324,40,"no","no","yes","no","no","no"
"72",30,"yes","no",91,"yes",2002,"yes","no",5.5,4768,13,"no","no","no","yes","no","no"
"73",38,"yes","no",101,"yes",1994,"yes","no",5.9,2944,24,"no","no","yes","no","no","no"
"74",75,"yes","no",93,"no",1979,"no","yes",6.8,6788,79,"no","no","no","no","no","no"
"75",55,"yes","no",101,"no",1983,"no","yes",6.5,24783,65,"no","no","no","no","no","no"
"76",39,"yes","yes",130,"yes",2000,"no","yes",6,3745,54,"no","no","no","no","no","no"
"77",59,"yes","no",101,"no",2014,"no","no",6.4,54726,48,"no","no","yes","no","no","no"
"78",47,"yes","yes",99,"yes",2004,"yes","no",5.9,1493,59,"no","no","no","no","no","no"
"79",24,"yes","no",100,"no",1998,"no","no",4.4,5616,21,"no","no","no","no","no","no"
"80",87,"yes","yes",106,"yes",1993,"no","yes",7.6,10492,96,"no","no","no","no","yes","no"
"81",83,"no","yes",116,"yes",1996,"no","yes",7.3,4451,60,"no","no","no","no","no","no"
"82",81,"yes","no",90,"yes",1983,"no","yes",6.8,12269,71,"no","no","no","no","no","no"
"83",35,"yes","no",117,"yes",1990,"no","yes",5.7,60335,32,"no","no","no","no","no","no"
"84",34,"yes","no",83,"yes",2002,"no","yes",5.5,5035,29,"no","no","no","no","no","no"
"85",92,"yes","yes",140,"no",2011,"no","no",8.2,315051,82,"no","no","no","no","no","no"
"86",55,"yes","yes",106,"no",2013,"no","yes",5.9,82737,42,"no","no","no","no","no","no"
"87",54,"yes","yes",94,"yes",2008,"no","yes",6.1,4944,70,"no","no","no","no","no","no"
"88",14,"yes","yes",91,"yes",1999,"yes","no",3.6,8229,17,"no","no","no","no","no","no"
"89",76,"yes","yes",108,"yes",1984,"no","no",6.8,4516,92,"no","no","no","no","no","no"
"90",40,"yes","no",100,"yes",1984,"no","no",5.7,7858,9,"no","no","no","no","no","no"
"91",82,"yes","yes",126,"no",2010,"no","no",7.4,10938,84,"no","no","no","no","no","no"
"92",87,"yes","no",107,"yes",1987,"no","yes",7.8,279704,78,"no","no","no","no","no","no"
"93",41,"yes","no",94,"yes",2010,"no","yes",5.8,11192,78,"no","no","no","no","no","no"
"94",75,"no","no",94,"yes",2007,"no","no",6.2,3851,40,"no","no","no","no","no","no"
"95",43,"yes","yes",97,"yes",1988,"no","yes",5.8,1838,71,"no","no","no","no","no","no"
"96",52,"yes","yes",109,"yes",1987,"no","no",6.2,6552,50,"no","no","no","no","no","no"
"97",25,"yes","yes",104,"no",1988,"no","no",5.7,390,29,"no","no","no","no","no","no"
"98",74,"yes","no",117,"yes",1999,"no","yes",7.2,68429,62,"no","no","yes","no","no","no"
"99",93,"yes","no",93,"no",1977,"no","no",8.1,182983,98,"yes","yes","no","yes","yes","no"
"100",90,"no","no",132,"no",2004,"no","no",8,1147,95,"no","no","no","no","no","no"
"101",80,"yes","yes",95,"yes",2012,"yes","no",7.2,35635,93,"no","no","no","yes","no","no"
"102",34,"yes","yes",102,"yes",1988,"no","no",5.9,2569,40,"no","no","no","no","no","no"
"103",37,"yes","yes",101,"yes",1995,"no","yes",5.9,13980,68,"no","no","yes","yes","no","no"
"104",86,"no","yes",105,"yes",1995,"no","no",7.7,11477,86,"no","no","no","no","no","no"
"105",33,"yes","no",84,"no",2007,"yes","no",4.1,9853,9,"no","no","no","no","no","no"
"106",45,"yes","yes",102,"yes",2011,"no","no",6.4,14970,39,"no","no","no","yes","no","no"
"107",81,"yes","yes",90,"yes",2005,"no","no",7.3,9001,92,"no","no","no","no","no","no"
"108",48,"yes","yes",122,"yes",2005,"yes","no",6.2,35868,22,"no","no","yes","no","no","no"
"109",24,"yes","no",107,"no",1989,"no","yes",5.4,41767,21,"no","no","no","no","no","no"
"110",35,"yes","no",97,"no",1993,"no","no",3.8,6954,17,"no","no","no","no","no","no"
"111",91,"yes","no",165,"yes",2012,"yes","no",8.5,893008,88,"yes","no","yes","no","no","no"
"112",69,"yes","yes",109,"no",1989,"no","no",6.2,3467,50,"no","no","no","no","no","no"
"113",75,"yes","yes",126,"yes",2001,"yes","no",7,117688,66,"no","no","no","no","no","no"
"114",43,"yes","no",89,"no",2000,"no","yes",5.1,2817,17,"no","no","yes","no","no","no"
"115",35,"yes","no",102,"yes",1993,"no","no",5.8,32751,14,"no","no","no","no","no","no"
"116",78,"yes","yes",123,"no",2006,"yes","no",6.3,5704,19,"no","no","no","no","no","no"
"117",78,"no","no",96,"no",2011,"no","no",7.6,318,97,"no","no","no","no","no","no"
"118",64,"yes","no",127,"yes",1998,"no","yes",6.6,123989,52,"no","no","no","no","no","no"
"119",40,"yes","no",103,"no",1996,"yes","no",5.6,70209,38,"no","no","no","no","no","yes"
"120",88,"no","no",111,"no",2010,"yes","no",7.8,541,86,"no","no","no","no","no","no"
"121",43,"yes","yes",120,"no",1998,"no","yes",6.1,132215,48,"no","no","yes","no","no","no"
"122",65,"yes","yes",86,"yes",2007,"no","no",6.7,127458,67,"no","no","no","no","no","no"
"123",46,"yes","yes",99,"yes",2003,"no","yes",3.5,27769,35,"no","no","no","no","no","no"
"124",55,"yes","no",101,"no",2008,"no","yes",5.8,52635,14,"no","no","no","no","no","no"
"125",75,"yes","yes",121,"yes",1974,"no","yes",7.1,12819,81,"no","no","no","no","no","no"
"126",67,"yes","no",91,"yes",2005,"no","no",3.5,6054,4,"no","no","no","no","no","no"
"127",54,"yes","no",92,"no",2013,"no","yes",6.2,9367,84,"no","no","no","no","no","no"
"128",41,"yes","no",95,"yes",2011,"no","no",6.2,17798,32,"no","no","no","no","no","no"
"129",75,"yes","yes",93,"yes",2003,"no","yes",6.7,26010,69,"no","no","no","no","no","no"
"130",76,"yes","yes",98,"yes",2012,"yes","no",7.5,4515,79,"no","no","no","no","no","no"
"131",74,"no","no",39,"no",1994,"no","no",7.3,535,100,"no","no","no","no","no","no"
"132",87,"yes","yes",107,"yes",1997,"no","no",7.4,71572,79,"no","no","no","no","no","no"
"133",37,"yes","no",91,"no",2011,"yes","no",3.4,57933,3,"no","no","yes","no","no","no"
"134",86,"no","no",157,"no",1986,"no","no",7.5,1784,100,"no","no","no","no","no","no"
"135",79,"yes","yes",118,"yes",1980,"no","no",7.2,3883,70,"no","no","no","no","no","no"
"136",42,"yes","yes",126,"no",1990,"yes","no",6.7,2282,80,"no","no","yes","yes","no","no"
"137",63,"yes","no",88,"no",1996,"yes","no",6.3,105745,36,"no","no","no","no","no","no"
"138",38,"yes","yes",94,"yes",2013,"no","no",5.3,104457,66,"no","no","no","no","no","no"
"139",51,"yes","no",92,"no",2007,"no","yes",5.6,205065,37,"no","no","no","no","no","no"
"140",84,"yes","no",100,"yes",2009,"no","yes",7.8,562136,79,"no","no","no","no","no","yes"
"141",44,"yes","no",91,"no",1976,"yes","no",5.7,1778,50,"no","no","no","no","no","no"
"142",33,"yes","yes",92,"no",1977,"no","yes",5.6,7628,15,"no","no","no","no","no","no"
"143",74,"yes","yes",100,"yes",1972,"no","no",7.1,17934,60,"no","no","no","no","no","no"
"144",78,"yes","yes",96,"no",2013,"no","no",7.3,2502,80,"no","no","no","no","no","no"
"145",59,"yes","yes",155,"no",1977,"no","yes",6.7,13092,67,"no","no","yes","yes","yes","no"
"146",74,"yes","no",90,"no",1982,"no","no",6.6,1010,100,"no","no","no","no","no","no"
"147",55,"yes","no",113,"no",1977,"no","no",6.3,4687,63,"no","no","no","no","no","no"
"148",52,"yes","yes",138,"no",2002,"no","yes",6.6,48137,60,"no","no","no","no","yes","no"
"149",89,"yes","yes",118,"no",1993,"yes","no",7.8,164112,89,"no","no","no","no","no","no"
"150",82,"yes","yes",115,"no",1992,"yes","no",7.5,30921,96,"yes","no","no","no","no","no"
"151",22,"yes","no",127,"no",2006,"yes","no",3.8,37640,4,"no","no","no","no","no","no"
"152",85,"yes","no",117,"no",2007,"no","yes",6.8,95327,91,"no","no","no","no","no","no"
"153",66,"yes","no",123,"no",2014,"no","yes",6.5,289825,74,"no","no","no","no","no","no"
"154",61,"yes","yes",102,"no",1990,"no","yes",6.5,15525,93,"no","no","yes","no","no","no"
"155",33,"yes","no",99,"no",2014,"no","no",4.2,43268,3,"no","no","no","no","no","no"
"156",43,"yes","no",100,"no",1980,"no","no",6.3,3153,33,"no","no","no","no","no","no"
"157",50,"yes","yes",123,"yes",1991,"no","no",6,1887,55,"no","no","yes","no","no","no"
"158",49,"yes","no",86,"no",2004,"no","no",4.5,3096,4,"no","no","no","no","no","no"
"159",84,"yes","yes",97,"yes",2006,"no","yes",7.4,112216,63,"no","no","no","no","no","no"
"160",62,"yes","yes",131,"no",2013,"no","yes",6.4,154674,51,"no","no","yes","no","no","no"
"161",63,"yes","yes",126,"yes",1985,"no","yes",6.7,12535,79,"no","no","no","no","no","no"
"162",83,"yes","yes",97,"yes",1996,"yes","no",7.4,3363,100,"no","no","no","no","no","no"
"163",65,"yes","no",114,"no",1984,"no","yes",6.3,40659,53,"no","no","no","no","no","no"
"164",74,"yes","yes",120,"no",2007,"no","yes",7.4,82378,91,"no","no","no","no","no","no"
"165",61,"yes","yes",94,"no",2008,"no","yes",5.1,3135,41,"no","no","no","no","no","no"
"166",70,"no","no",90,"no",2002,"yes","no",7.3,1489,85,"no","no","no","no","no","no"
"167",62,"yes","yes",125,"yes",1997,"yes","no",6.8,41385,59,"no","no","yes","no","yes","no"
"168",69,"yes","no",128,"no",2003,"yes","no",6.7,88523,71,"no","no","yes","yes","no","no"
"169",63,"yes","yes",91,"yes",1975,"no","no",6.6,12221,75,"no","no","no","no","no","no"
"170",39,"yes","no",97,"yes",1980,"no","no",5.9,6304,36,"no","no","no","no","no","no"
"171",32,"yes","no",85,"yes",1990,"no","no",5.1,9565,19,"no","no","no","no","no","no"
"172",79,"yes","yes",129,"no",1992,"yes","no",7.2,15913,94,"no","no","no","yes","no","no"
"173",87,"yes","no",101,"no",1993,"no","no",8.1,414687,96,"no","no","no","no","no","no"
"174",70,"yes","yes",107,"yes",2010,"yes","no",7.2,33720,67,"no","no","no","no","no","no"
"175",71,"no","no",98,"no",2008,"no","yes",7.4,325,53,"no","no","no","no","no","no"
"176",86,"yes","no",103,"yes",2001,"no","no",7.8,22245,72,"no","no","no","no","no","no"
"177",33,"yes","yes",106,"no",2000,"yes","no",5.7,17133,52,"no","no","no","yes","no","no"
"178",70,"yes","yes",108,"yes",2007,"no","yes",6.7,23821,79,"no","no","no","no","no","no"
"179",87,"yes","yes",123,"yes",1990,"no","yes",7.7,13285,85,"no","no","no","no","no","no"
"180",68,"yes","no",100,"yes",2002,"no","no",6.7,192052,33,"no","no","no","no","no","no"
"181",83,"yes","yes",110,"no",1986,"no","yes",6.9,211129,54,"no","no","no","no","no","yes"
"182",85,"yes","yes",135,"yes",2003,"no","no",7.7,146518,78,"no","no","yes","no","no","no"
"183",39,"yes","no",100,"no",1977,"no","yes",5.4,2239,50,"no","no","no","no","no","no"
"184",44,"yes","yes",95,"yes",1986,"yes","no",6,486,31,"no","no","no","no","no","no"
"185",17,"yes","yes",92,"yes",1999,"no","no",4.1,7658,4,"no","no","no","no","no","no"
"186",58,"yes","yes",107,"yes",1990,"no","no",6.1,1268,11,"no","no","no","no","no","no"
"187",11,"yes","no",118,"no",2000,"no","yes",2.4,64119,3,"no","no","yes","no","no","no"
"188",41,"yes","no",95,"no",2001,"no","yes",6.2,24678,55,"no","no","no","no","no","no"
"189",85,"yes","yes",105,"no",1983,"no","no",7.6,6114,100,"no","no","no","no","no","no"
"190",49,"yes","yes",93,"no",2006,"no","no",6.5,9399,37,"no","no","no","yes","no","no"
"191",79,"yes","yes",100,"yes",2011,"no","no",7.8,414650,92,"no","no","no","no","no","no"
"192",54,"yes","yes",104,"yes",1996,"no","no",6.5,15291,60,"no","no","no","yes","no","no"
"193",41,"yes","yes",112,"yes",1993,"no","no",5.9,725,33,"no","no","no","no","no","no"
"194",77,"yes","yes",123,"no",2000,"yes","no",7.1,93331,40,"no","no","yes","yes","no","no"
"195",79,"yes","yes",154,"yes",1999,"yes","no",7.4,9876,89,"no","no","no","no","no","no"
"196",85,"yes","yes",115,"yes",2005,"yes","no",7.7,9525,84,"no","no","no","no","no","no"
"197",80,"yes","no",90,"no",1984,"no","yes",7.2,44741,76,"no","no","no","no","no","no"
"198",89,"no","no",74,"no",2002,"no","no",7.3,285,78,"no","no","no","no","no","no"
"199",31,"yes","yes",105,"yes",1992,"yes","no",5.8,3673,67,"no","no","yes","yes","no","no"
"200",46,"yes","no",95,"no",2012,"no","no",6.1,79970,38,"no","no","no","no","no","no"
"201",92,"no","no",84,"no",2003,"yes","no",8.1,1058,79,"no","no","no","no","no","no"
"202",62,"yes","no",91,"yes",2009,"no","no",6.9,60220,72,"no","no","no","no","no","no"
"203",36,"yes","no",94,"no",1996,"no","no",4.1,5591,21,"no","no","no","no","no","no"
"204",80,"no","no",82,"no",2011,"no","no",7.3,340,100,"no","no","no","no","no","no"
"205",57,"yes","yes",98,"no",2004,"no","no",6.3,50340,60,"no","no","no","no","no","no"
"206",55,"yes","yes",92,"yes",1999,"no","no",6,2934,61,"no","no","no","no","no","no"
"207",55,"yes","no",91,"no",1981,"no","no",5.7,5564,24,"no","no","no","no","no","no"
"208",90,"yes","yes",132,"yes",2006,"no","no",8.2,753592,73,"no","no","no","yes","no","no"
"209",75,"yes","yes",98,"no",1977,"no","yes",6.4,1141,83,"no","no","no","no","no","no"
"210",40,"yes","yes",126,"yes",1993,"yes","no",6.2,3967,67,"no","no","no","yes","no","no"
"211",71,"yes","no",110,"no",1996,"no","yes",7.1,287476,63,"no","no","yes","no","no","yes"
"212",86,"yes","no",149,"yes",1996,"no","yes",7.4,94983,67,"no","no","yes","yes","no","no"
"213",73,"yes","no",119,"yes",1986,"yes","no",7,56185,90,"no","no","yes","no","yes","no"
"214",61,"yes","yes",146,"yes",1981,"no","no",6.4,3138,82,"no","no","no","no","no","no"
"215",45,"yes","no",125,"yes",2013,"no","no",6.4,25264,55,"no","no","no","yes","yes","no"
"216",70,"yes","yes",103,"no",2009,"no","no",4.1,9424,29,"no","no","no","no","no","no"
"217",56,"yes","no",114,"no",1978,"yes","no",6.2,16681,31,"no","no","no","no","no","no"
"218",56,"yes","yes",83,"no",1991,"yes","no",5.3,1308,10,"no","no","no","no","no","no"
"219",91,"yes","no",85,"yes",2007,"no","yes",7.9,87215,97,"no","no","no","no","no","no"
"220",81,"yes","no",105,"yes",1984,"yes","no",7.3,121245,83,"no","no","no","no","no","yes"
"221",46,"yes","no",110,"yes",2012,"no","no",6.4,71112,22,"no","no","no","no","no","no"
"222",65,"yes","no",90,"no",2008,"yes","no",6.7,72295,74,"no","no","no","no","no","no"
"223",21,"no","no",90,"yes",1993,"yes","no",3.8,2289,22,"no","no","no","no","no","no"
"224",49,"yes","yes",124,"no",2002,"no","yes",6.4,84191,59,"no","no","no","no","no","no"
"225",48,"yes","no",112,"yes",2014,"yes","no",6.6,235529,51,"no","no","no","no","no","no"
"226",90,"yes","yes",115,"yes",2008,"no","no",8,168032,98,"no","no","no","no","no","no"
"227",31,"yes","yes",104,"no",1997,"no","no",5.4,56329,44,"no","no","no","no","no","no"
"228",84,"no","no",90,"no",2011,"no","no",7.6,2849,100,"no","no","no","no","no","no"
"229",77,"yes","yes",120,"no",2000,"no","no",6.8,26360,35,"no","no","no","yes","no","no"
"230",48,"yes","no",86,"yes",2007,"no","no",6.5,5762,64,"no","no","no","no","no","no"
"231",45,"yes","yes",94,"yes",2006,"no","yes",5.9,8521,25,"no","no","no","no","no","no"
"232",58,"yes","no",103,"yes",2013,"no","yes",6.6,191935,30,"no","no","no","no","no","no"
"233",73,"no","no",267,"no",1988,"yes","no",7.8,872,100,"no","no","no","no","no","no"
"234",27,"yes","yes",95,"yes",1995,"yes","no",5.1,8999,14,"no","no","no","no","yes","no"
"235",85,"yes","yes",110,"yes",1987,"no","no",7.6,184656,84,"no","no","no","no","no","no"
"236",86,"yes","no",89,"yes",1991,"no","no",7.2,2098,44,"no","no","no","no","no","no"
"237",83,"yes","yes",143,"no",2000,"yes","no",7.7,375820,90,"no","no","yes","yes","yes","yes"
"238",25,"yes","no",92,"no",2001,"no","no",4.8,19187,11,"no","no","no","no","no","no"
"239",61,"yes","yes",90,"yes",1992,"no","no",6.4,1406,60,"no","no","no","no","no","no"
"240",78,"yes","yes",103,"yes",2001,"no","yes",7,16755,51,"no","no","no","no","no","no"
"241",40,"yes","yes",108,"no",2013,"no","no",5.6,9003,64,"no","no","no","no","no","no"
"242",51,"yes","no",110,"yes",1991,"no","no",6.3,5014,75,"no","no","yes","no","no","no"
"243",40,"yes","no",97,"yes",1991,"no","yes",6.1,2818,56,"no","no","no","no","no","no"
"244",87,"no","no",94,"no",2008,"no","no",7.9,38076,100,"no","no","no","no","no","no"
"245",66,"yes","no",89,"no",2008,"yes","no",6.7,137405,64,"no","no","no","no","no","no"
"246",52,"yes","yes",97,"no",2006,"no","no",5.6,56361,24,"no","no","yes","no","no","no"
"247",75,"yes","no",85,"yes",2008,"no","no",7,7244,67,"no","no","no","no","no","no"
"248",40,"yes","yes",110,"no",1992,"no","no",5.7,2701,23,"no","no","no","no","no","no"
"249",38,"yes","no",97,"yes",2006,"yes","no",4.8,18712,7,"no","no","no","no","no","no"
"250",49,"yes","no",106,"yes",2003,"yes","no",6.3,25054,43,"no","no","yes","yes","yes","no"
"251",63,"yes","no",84,"yes",1998,"no","yes",3.8,1510,10,"no","no","no","no","no","no"
"252",83,"yes","no",118,"no",1979,"yes","no",7.4,8544,88,"no","no","no","no","no","no"
"253",81,"yes","yes",103,"yes",1998,"yes","no",7.3,8561,56,"no","no","no","no","no","no"
"254",61,"yes","yes",88,"yes",2012,"no","no",6.7,151934,28,"no","no","no","no","no","no"
"255",80,"yes","yes",91,"yes",1996,"no","no",7.1,52449,85,"no","no","no","no","no","no"
"256",46,"yes","yes",128,"no",1999,"no","no",5.9,11001,32,"no","no","no","no","no","no"
"257",64,"yes","yes",100,"yes",2001,"no","yes",6.5,42613,63,"no","no","no","no","no","no"
"258",19,"no","yes",88,"no",2012,"no","no",4.1,3505,33,"no","no","no","no","no","no"
"259",78,"yes","no",107,"yes",2005,"no","yes",6.9,74294,53,"no","no","no","no","no","no"
"260",80,"no","no",86,"no",2012,"no","no",7.5,1480,75,"no","no","no","no","no","no"
"261",33,"yes","no",101,"no",1987,"no","yes",4.5,703,17,"no","no","no","no","no","no"
"262",51,"yes","no",111,"no",1990,"yes","no",6,103789,51,"no","no","no","no","no","no"
"263",81,"yes","no",106,"no",2009,"no","yes",7.5,42842,94,"no","no","no","no","no","no"
"264",65,"yes","no",95,"yes",2002,"yes","no",6.8,26731,58,"no","no","no","no","no","no"
"265",90,"yes","yes",85,"no",1975,"no","yes",7.8,26628,100,"no","no","no","yes","yes","no"
"266",85,"yes","no",92,"no",1996,"no","no",7,149437,60,"no","no","no","no","no","no"
"267",71,"yes","yes",101,"no",2006,"yes","no",6.7,9291,76,"no","no","no","no","no","no"
"268",90,"yes","yes",81,"yes",1999,"no","yes",7.8,157701,93,"no","no","no","no","no","no"
"269",50,"yes","no",101,"no",1988,"no","yes",6.1,14901,67,"no","no","no","no","yes","no"
"270",51,"yes","no",97,"yes",1977,"no","no",6.4,1361,86,"no","no","yes","no","no","no"
"271",87,"yes","yes",99,"yes",2001,"no","no",7.8,47065,80,"no","no","no","no","no","no"
"272",69,"yes","no",97,"no",1999,"no","yes",6.9,12606,85,"no","no","no","yes","no","no"
"273",87,"yes","yes",112,"yes",1999,"yes","no",7.8,246587,93,"no","no","no","no","no","no"
"274",84,"yes","yes",111,"no",2003,"no","no",7.6,42208,59,"no","no","yes","no","no","no"
"275",86,"yes","yes",108,"no",2003,"yes","no",7.6,9216,31,"no","no","no","no","no","no"
"276",71,"yes","no",120,"no",2008,"no","yes",7,201787,85,"no","no","no","no","no","no"
"277",82,"yes","no",113,"no",1975,"no","yes",7.1,19000,89,"no","no","no","no","no","no"
"278",72,"no","no",92,"yes",2009,"no","no",7.5,1799,61,"no","no","no","no","no","no"
"279",59,"yes","yes",101,"yes",1999,"no","no",5.9,12877,28,"no","no","no","no","no","no"
"280",76,"yes","yes",134,"yes",1978,"yes","no",6.8,9025,60,"no","no","no","no","no","no"
"281",45,"yes","no",77,"yes",1982,"yes","no",5.7,5985,36,"no","no","no","no","no","no"
"282",63,"yes","no",74,"no",1988,"yes","no",6.7,30886,43,"no","no","no","no","no","no"
